product_name,barcode,category_level1,category_level2,category_level3,category_level4
WINTER HERBS CREAM EUCALYPTUS & ESSENTIAL OILS 50 ML,5200312263017,PHARMACEUTICALS,COLD & FLU,,
X-MED EMERGENXY BURN GEL 50 GR,5200312280106,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,WOUND HEALING PROD.,,
MEDIGAUZE STERILIZED GAUZES 14.5X18.5CM 12PLY 10 PCS,5200312280434,MEDICAL,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,GAUZES,
X-MED MEDIGAUZE 18X29CM 10 PCS,5200312280441,MEDICAL,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,GAUZES,
MEDIGAUZE GAUZES 35X38.5CM 10 PCS,5200312280458,MEDICAL,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,GAUZES,
MEDISEI MS MS X MED FOR MUSCLE JOINT PAIN _ PERIOD 9X14CM 1 PC,5200312281417,MEDICAL,MEDICAL SUPPLIES,PATCHES,
PHARMAQ CHIOS MASTIHA POWDER 40.5 GR,5200314300666,FOOD SUPPL. & VITAMIN,HERBAL SUPPLEMENTS,OTH. HERBAL SUPPLEMENTS,
POWER HEALTH FREE NOSE SPRAY 20 ML,5200321007091,PHARMACEUTICALS,NASAL DECONGESTANTS,NASAL DECONGEST. SPRAYS,
POWER HEALTH NOCCA 125 GR,5200321007121,FOOD,"COFFEE, TEA & CHOCOLATE",COFFEE,COFFEE SUBSTITUTES
POWER HEALTH CLASSICS PLATINUM RANGE VITAMIN E 400IU 30 CAPS,5200321007152 5200321008753,FOOD SUPPL. & VITAMIN,ΒΙΤΑΜΙΝΕΣ,VITAMIN E,
POWER HEALTH WINTER BALM 45 ML,5200321007251,PHARMACEUTICALS,NASAL DECONGESTANTS,NASAL DECONG. OTH. FORM,
POWER HEALTH BIO COLON PROBIOTICS AND VITAMINS 20 CAPS,5200321007299 5200321012101,FOOD SUPPL. & VITAMIN,SPECIAL FOOD SUPPL.,GASTROINTESTINAL SUPPLEMENTS,PROBIOTICS
POWER HEALTH ECHINACEA CARAMELS 60 GR,5200321007596,FOOD SUPPL. & VITAMIN,HERBAL SUPPLEMENTS,ECHINACEA,
POWER HEALTH SALEPIMELES CARAMELS FOR COUGH RELIEF 60 GR,5200321008036,PHARMACEUTICALS,COUGH RELIEVER/ SORETH,SORETHROAT LOZENGES,
